"","Date","area","Week","cpW","avl","minl","maxl","sdl","mt.weeks","Year","Bay"
"1",2015-06-24,3500,1,464.637192094697,41.990513168862,24,59,6.34952027169267,1,"2015","Mattituck"
"2",2015-07-07,3935.18518518518,2,1018.25053091942,48.9461584197268,27,75,8.78896703785768,2,"2015","Mattituck"
"3",2015-07-21,3827.16049382716,3,127.364209231278,52.2387768827861,28,70,9.08446206334707,3,"2015","Mattituck"
"4",2015-08-03,4055.55555555555,4,228.924328975347,59.4696090267255,28,93,10.3560932497183,4,"2015","Mattituck"
"5",2015-08-17,3796.29629629629,5,36.4494053508852,54.6795640007031,38,77,10.1898642450885,5,"2015","Mattituck"
"6",2015-09-01,3685.18518518518,6,10.0241669649931,68.6141205751403,51,84,10.3501207722422,6,"2015","Mattituck"
"7",2016-05-16,4606.48148148148,1,0,NA,NA,NA,NA,NA,"2016","Mattituck"
"8",2016-06-02,3339.5061728395,2,26.2958776856301,43.2089102146063,25,62,9.88243391073272,1,"2016","Mattituck"
"9",2016-06-13,3503.08641975308,3,24.2449073459143,44.2322711430359,24,64,12.0645091467652,2,"2016","Mattituck"
"10",2016-06-30,3425.92592592592,4,33.3424979414835,49.0793650203213,27,88,19.2273366899963,3,"2016","Mattituck"
"11",2016-07-11,3672.83950617284,5,34.7319725391554,54.6053425290623,29,110,24.0866491373679,4,"2016","Mattituck"
"12",2016-07-26,3549.38271604938,6,12.2651917289157,60.639776948573,32,97,24.9599679486974,5,"2016","Mattituck"
"13",2016-08-08,3299.38271604938,7,6.66074883778726,86.1903308094209,68,102,15.0022220576376,6,"2016","Mattituck"
"14",2016-08-23,3697.53086419753,8,0,84,84,84,NA,7,"2016","Mattituck"
